GH,GA,scorer,time,scoring,game,season
1,3,Rui Águas,86,SL Benfica,Sporting Braga vs. SL Benfica 1:3,1990-1991
1,0,Jaime Alves,25,Boavista,Boavista vs. SC Farense 2:0,1990-1991
2,0,Nélson Bertolazzi,88,Boavista,Boavista vs. SC Farense 2:0,1990-1991
1,0,Paulo Monteiro,27,Os Belenenses,Os Belenenses vs. SC Salgueiros 2:0,1990-1991
2,0,Paulo Sérgio,30,Os Belenenses,Os Belenenses vs. SC Salgueiros 2:0,1990-1991
1,0,Caio Júnior,54,Vitória Guimarães,Vitória Guimarães vs. CD Nacional 3:1,1990-1991
2,0,Chiquinho,59,Vitória Guimarães,Vitória Guimarães vs. CD Nacional 3:1,1990-1991
3,0,Chiquinho,71,Vitória Guimarães,Vitória Guimarães vs. CD Nacional 3:1,1990-1991
3,1,Muchacho,81,CD Nacional,Vitória Guimarães vs. CD Nacional 3:1,1990-1991
1,0,Leal,68,Sporting CP,Sporting CP vs. FC Tirsense 1:0,1990-1991
1,0,Vinha,13,SC Salgueiros,SC Salgueiros vs. Estrela Amadora 2:1,1990-1991
